PromedionaSueldos;target;No_Radicacion;FechaCreacion;Id_Tramite;Tramite;id_TipoLiquidacion;TipoLiquidacion;Id_Instancia;Instancia;TiemposPublicos;Id_TipoDoc;Documento;CodigoDane;Id_TipoDeSolicitante;TipoDeSolicitante;Id_Origen;Origen;Id_proceso_Entrada;proceso_Entrada;Id_Oficina;Oficina
9,8;CANDIDATOnaAUTOMATICO;2022_13835607;44830;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;39;OFICINAnaSECCIONALnaBnaRIOHACHA
9,4;CANDIDATOnaAUTOMATICO;2022_13838537;44830;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
9,1;CANDIDATOnaAUTOMATICO;2022_13844810;44830;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
7,2;CANDIDATOnaAUTOMATICO;2022_13850412;44830;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;72;REGIONALnaEJEnaCAFETERO
13,6;CANDIDATOnaAUTOMATICO;2022_13883987;44831;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;12;OFICINAnaSECCIONALnaAnaCALInaCENTRO
3,4;CANDIDATOnaAUTOMATICO;2022_13890770;44831;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
3,7;CANDIDATOnaAUTOMATICO;2022_13891882;44831;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;72;REGIONALnaEJEnaCAFETERO
6,1;CANDIDATOnaAUTOMATICO;2022_13909475_6;44977;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;54001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;18;OFICINAnaSECCIONALnaAnaCUCUTA
15,4;CANDIDATOnaAUTOMATICO;2022_13913077;44831;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
6,8;CANDIDATOnaAUTOMATICO;2022_13927351;44831;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;29;OFICINAnaSECCIONALnaBnaBARRANCABERMEJA
2,3;CANDIDATOnaAUTOMATICO;2022_13950646;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
6,7;CANDIDATOnaAUTOMATICO;2022_13957508;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;44;OFICINAnaSECCIONALnaBnaSOACHA
9,8;CANDIDATOnaAUTOMATICO;2022_13960638;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;79;SUPERCADEna20naDEnaJULIO
1,05;CANDIDATOnaAUTOMATICO;2022_13963055;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
6,4;CANDIDATOnaAUTOMATICO;2022_13968764;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;10;OFICINAnaSECCIONALnaAnaBOGOTAnaSUR
3,8;CANDIDATOnaAUTOMATICO;2022_13972586;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;6;Apoderado;1;DianaanaDia;1;Estandarización;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
2,2;CANDIDATOnaAUTOMATICO;2022_13985093_6;44960;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;66170;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;23;OFICINAnaSECCIONALnaAnaPEREIRA
5,7;CANDIDATOnaAUTOMATICO;2022_13993649;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;15;OFICINAnaSECCIONALnaAnaCALLEna94
4,1;CANDIDATOnaAUTOMATICO;2022_14005084;44832;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;40;OFICINAnaSECCIONALnaBnaRIONEGRO
3,1;CANDIDATOnaAUTOMATICO;2022_14092164;44833;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
5,8;CANDIDATOnaAUTOMATICO;2022_14095635;44833;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
9,7;CANDIDATOnaAUTOMATICO;2022_14129327;44834;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
1;CANDIDATOnaAUTOMATICO;2022_14129853;44834;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
9;CANDIDATOnaAUTOMATICO;2022_14138799_6;44964;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76834;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;46;OFICINAnaSECCIONALnaBnaTULUÁ
2,7;CANDIDATOnaAUTOMATICO;2022_14139205_6;45008;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;66001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;23;OFICINAnaSECCIONALnaAnaPEREIRA
1;CANDIDATOnaAUTOMATICO;2022_14142253_6;44985;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
3,9;CANDIDATOnaAUTOMATICO;2022_14172857;44834;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;13;OFICINAnaSECCIONALnaAnaCALInaNORTE
7,7;CANDIDATOnaAUTOMATICO;2022_14173565_6;44994;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76109;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
9,4;CANDIDATOnaAUTOMATICO;2022_14221092;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;7;OFICINAnaSECCIONALnaAnaARMENIA
13,6;CANDIDATOnaAUTOMATICO;2022_14221749;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;44;OFICINAnaSECCIONALnaBnaSOACHA
9,5;CANDIDATOnaAUTOMATICO;2022_14229653;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;81;SUPERCADEnaBOSA
9,4;CANDIDATOnaAUTOMATICO;2022_14233783;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;32;OFICINAnaSECCIONALnaBnaFACATATIVÁ
1;CANDIDATOnaAUTOMATICO;2022_14238943;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
9,1;CANDIDATOnaAUTOMATICO;2022_14241022;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
1,06;CANDIDATOnaAUTOMATICO;2022_14241337;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;18;OFICINAnaSECCIONALnaAnaCUCUTA
4;CANDIDATOnaAUTOMATICO;2022_14247669_6;45008;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;13001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;16;OFICINAnaSECCIONALnaAnaCARTAGENA
10,4;CANDIDATOnaAUTOMATICO;2022_14252471;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
7,3;CANDIDATOnaAUTOMATICO;2022_14253608;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;22;OFICINAnaSECCIONALnaAnaPASTO
6;CANDIDATOnaAUTOMATICO;2022_14268401;44837;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;6;Apoderado;1;DianaanaDia;1;Estandarización;75;ROTONDAnaDESPACHOSnaJUDICIALES
4,8;CANDIDATOnaAUTOMATICO;2022_14331557_6;44979;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;25;OFICINAnaSECCIONALnaAnaSALITRE
2;CANDIDATOnaAUTOMATICO;2022_14332166;44838;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;11;OFICINAnaSECCIONALnaAnaBUCARAMANGA
5,2;CANDIDATOnaAUTOMATICO;2022_14332309;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
1,01;CANDIDATOnaAUTOMATICO;2022_14346100;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;44;OFICINAnaSECCIONALnaBnaSOACHA
2,4;CANDIDATOnaAUTOMATICO;2022_14346282;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
15,4;CANDIDATOnaAUTOMATICO;2022_14351388_6;44981;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76895;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;46;OFICINAnaSECCIONALnaBnaTULUÁ
6,9;CANDIDATOnaAUTOMATICO;2022_14357304;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
15,6;CANDIDATOnaAUTOMATICO;2022_1435937_6;44895;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;47001;33;Empleador;1;DianaanaDia;2;Módulonadenaradicación;42;OFICINAnaSECCIONALnaBnaSANTAnaMARTA
1;CANDIDATOnaAUTOMATICO;2022_14362061;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;7;OFICINAnaSECCIONALnaAnaARMENIA
14,9;CANDIDATOnaAUTOMATICO;2022_14366578;44838;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
2,6;CANDIDATOnaAUTOMATICO;2022_14392897;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;23;OFICINAnaSECCIONALnaAnaPEREIRA
3,3;CANDIDATOnaAUTOMATICO;2022_14392945;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;27;OFICINAnaSECCIONALnaAnaTUNJA
2,7;CANDIDATOnaAUTOMATICO;2022_14393751;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;7;OFICINAnaSECCIONALnaAnaARMENIA
8;CANDIDATOnaAUTOMATICO;2022_14397115;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
4,7;CANDIDATOnaAUTOMATICO;2022_14400778_6;44966;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5686;33;Empleador;1;DianaanaDia;2;Módulonadenaradicación;40;OFICINAnaSECCIONALnaBnaRIONEGRO
3,8;CANDIDATOnaAUTOMATICO;2022_14404178;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;6;Apoderado;1;DianaanaDia;1;Estandarización;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
9,5;CANDIDATOnaAUTOMATICO;2022_14405342;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
11,3;CANDIDATOnaAUTOMATICO;2022_14412891;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;59;OFICINAnaSECCIONALnaCnaOCAÑA
6;CANDIDATOnaAUTOMATICO;2022_14417578;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;6;Apoderado;1;DianaanaDia;1;Estandarización;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
9,2;CANDIDATOnaAUTOMATICO;2022_14424392;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
12,5;CANDIDATOnaAUTOMATICO;2022_14425521;44839;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;37;OFICINAnaSECCIONALnaBnaPOPAYAN
6,5;CANDIDATOnaAUTOMATICO;2022_14430647;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;13;OFICINAnaSECCIONALnaAnaCALInaNORTE
9,2;CANDIDATOnaAUTOMATICO;2022_14433109_6;44979;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;25754;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;44;OFICINAnaSECCIONALnaBnaSOACHA
1;CANDIDATOnaAUTOMATICO;2022_14437351_6;45012;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
8,4;CANDIDATOnaAUTOMATICO;2022_14437617;44839;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;24;OFICINAnaSECCIONALnaAnaPRADOna(ANTERIORnaCEDRITOS)
7,7;CANDIDATOnaAUTOMATICO;2022_14444200_6;44994;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;11001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;71;REGIONALnaCENTRO
1,07;CANDIDATOnaAUTOMATICO;2022_14482178;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;83;SUPERCADEnaCARRERAna30
2,6;CANDIDATOnaAUTOMATICO;2022_14482263;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;83;SUPERCADEnaCARRERAna30
14;CANDIDATOnaAUTOMATICO;2022_14486168;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;24;OFICINAnaSECCIONALnaAnaPRADOna(ANTERIORnaCEDRITOS)
3,7;CANDIDATOnaAUTOMATICO;2022_14490557;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;26;OFICINAnaSECCIONALnaAnaTEUSAQUILLOna(ANTERIORnaCUNDINAMARCA)
11,3;CANDIDATOnaAUTOMATICO;2022_14493558;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;33;Empleador;1;DianaanaDia;1;Estandarización;20;OFICINAnaSECCIONALnaAnaMEDELLÍNnaSUR
10,8;CANDIDATOnaAUTOMATICO;2022_14496116;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;15;OFICINAnaSECCIONALnaAnaCALLEna94
5,7;CANDIDATOnaAUTOMATICO;2022_14496558;44840;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;32;OFICINAnaSECCIONALnaBnaFACATATIVÁ
6,6;CANDIDATOnaAUTOMATICO;2022_14496672;44840;1;Auxiliosnafunerarios;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;55;OFICINAnaSECCIONALnaCnaIPIALES
1;CANDIDATOnaAUTOMATICO;2022_14500218;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
13,9;CANDIDATOnaAUTOMATICO;2022_14505444_6;44972;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;68001;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;11;OFICINAnaSECCIONALnaAnaBUCARAMANGA
7,9;CANDIDATOnaAUTOMATICO;2022_14530052;44840;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;28;OFICINAnaSECCIONALnaAnaVILLAVICENCIO
9,6;CANDIDATOnaAUTOMATICO;2022_14559871_6;44992;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;13430;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;43;OFICINAnaSECCIONALnaBnaSINCELEJO
12,7;CANDIDATOnaAUTOMATICO;2022_14560591;44841;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;70;Radicacionnaweb
12,4;CANDIDATOnaAUTOMATICO;2022_14563405;44841;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;44;OFICINAnaSECCIONALnaBnaSOACHA
1;CANDIDATOnaAUTOMATICO;2022_14565419;44841;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;15;OFICINAnaSECCIONALnaAnaCALLEna94
8;CANDIDATOnaAUTOMATICO;2022_14567798_6;44981;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;66170;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;23;OFICINAnaSECCIONALnaAnaPEREIRA
7,4;CANDIDATOnaAUTOMATICO;2022_14568551;44841;7;Indemnizaciónnavejez;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;15;OFICINAnaSECCIONALnaAnaCALLEna94
2,4;CANDIDATOnaAUTOMATICO;2022_14572542_6;45015;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;76834;1;Afiliado;1;DianaanaDia;2;Módulonadenaradicación;46;OFICINAnaSECCIONALnaBnaTULUÁ
9,4;CANDIDATOnaAUTOMATICO;2022_14586162;44841;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;20;OFICINAnaSECCIONALnaAnaMEDELLÍNnaSUR
15,1;CANDIDATOnaAUTOMATICO;2022_14591095_6;44995;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;5001;6;Apoderado;1;DianaanaDia;2;Módulonadenaradicación;6;OFICINAnaCENTROCCIDENTALnaMEDELLIN
9,4;CANDIDATOnaAUTOMATICO;2022_14617419;44841;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;24;OFICINAnaSECCIONALnaAnaPRADOna(ANTERIORnaCEDRITOS)
11,5;CANDIDATOnaAUTOMATICO;2022_14666303;44844;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;11;OFICINAnaSECCIONALnaAnaBUCARAMANGA
11,5;CANDIDATOnaAUTOMATICO;2022_14667682;44844;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;18;Terceronaautorizado;1;DianaanaDia;1;Estandarización;47;OFICINAnaSECCIONALnaBnaVALLEDUPAR
6,8;CANDIDATOnaAUTOMATICO;2022_14668377;44844;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;17;OFICINAnaSECCIONALnaAnaCHAPINEROna(ANTIGUAnaCALLEna71)
10,1;CANDIDATOnaAUTOMATICO;2022_14670038;44844;14;Pensiónnadenavejeznatiemposnaprivados;1;Reconocimiento;1;AclaracionnaVBP;0;1;Cédulanadenaciudadanía;;1;Afiliado;1;DianaanaDia;1;Estandarización;44;OFICINAnaSECCIONALnaBnaSOACHA
